config,err,inf_time,size,arch,link
"[23, 55, 0.6]",-0.385814009970182,1.0637459754943848,2324,L1,5
"[6, 39, 0.2]",-0.5631564562640231,1.0348989963531494,199,L1,5
"[69, 21, 0.1]",-0.19970735559988076,1.1144039630889893,19666,L1,5
"[94, 59, 0.1]",-0.09395376927793839,1.1514580249786377,36191,L1,5
"[73, 20, 0.3]",-0.1656936920402364,1.126276969909668,21974,L1,5
"[30, 71, 0.5]",-0.4038188557063243,1.0477609634399414,3871,L1,5
"[22, 47, 0.1]",-0.9312172583230062,1.0574090480804443,2135,L1,5
"[92, 59, 0.5]",-0.1946552398537379,1.0233371257781982,34685,L1,5
"[32, 9, 0.8]",-0.5430977830943076,1.078239917755127,4385,L1,5
"[55, 78, 0.8]",-0.33570914704065163,1.1508898735046387,12596,L1,5
"[8, 68, 0.1]",-0.47090829452740646,1.0498270988464355,329,L1,5
"[69, 47, 0.5]",-0.15657828639781238,1.1076509952545166,19666,L1,5
"[66, 71, 0.3]",-0.09050450827672103,1.073848009109497,18019,L1,5
"[2, 78, 0.8]",-0.9666452783406302,1.0511138439178467,35,L1,5
"[15, 60, 0.3]",-26.303799242344123,1.0438668727874756,1036,L1,5
"[24, 24, 0.3]",-0.5371137054613782,1.086310863494873,2521,L1,5
"[98, 25, 0.4]",-0.18351204027330403,1.0309882164001465,39299,L1,5
"[3, 64, 0.2]",-0.4121528659285398,1.0530710220336914,64,L1,5
"[74, 61, 0.4]",-0.17210570790294286,1.0435879230499268,22571,L1,5
"[71, 97, 0.8]",-0.25806483704832156,1.1315770149230957,20804,L1,5
"[29, 54, 1.0]",-0.10221272212916915,0.9649989604949951,3626,L1,5
"[100, 85, 0.0]",-0.10726409167887391,1.0641109943389893,40901,L1,5
"[31, 100, 0.8]",-0.29157959729152527,1.1405839920043945,4124,L1,5
"[1, 6, 1.0]",-0.3795902969935108,0.9561171531677246,14,L1,5
"[90, 5, 1.0]",-1.459377390219154,1.0859808921813965,33211,L1,5
"[49, 33, 0.8]",-0.3643233933195343,1.1084420680999756,10046,L1,5
"[56, 5, 1.0]",-0.2620244143889669,1.0336380004882812,13049,L1,5
"[9, 100, 0.0]",-0.27299733181711605,0.9688849449157715,406,L1,5
"[51, 100, 0.0]",-0.13601546597627456,0.9547181129455566,10864,L1,5
"[91, 100, 0.0]",-0.1098244197691524,1.0908279418945312,33944,L1,5
"[100, 44, 0.0]",-0.06066028735504481,1.064310073852539,40901,L1,5
"[51, 56, 0.0]",-0.18955541260717976,0.988867998123169,10864,L1,5
"[83, 80, 1.0]",-0.18387985632099657,0.9883949756622314,28304,L1,5
"[84, 37, 1.0]",-0.1892310510610441,1.1627731323242188,28981,L1,5
"[40, 86, 0.0]",-0.13940605557829153,1.0142459869384766,6761,L1,5
"[1, 22, 0.0]",-0.3999980049951681,1.0464119911193848,14,L1,5
"[100, 71, 0.0]",-0.27984025342839514,1.1110730171203613,40901,L1,5
"[21, 87, 0.0]",-0.3001561811532815,1.021143913269043,1954,L1,5
"[71, 5, 0.0]",-0.9032242276603534,1.059453010559082,20804,L1,5
"[47, 17, 0.0]",-0.4911620657684075,1.0268421173095703,9260,L1,5
"[65, 34, 0.0]",-0.14103291238130786,1.1622929573059082,17486,L1,5
"[41, 45, 0.0]",-0.20011634133132666,1.0758280754089355,7094,L1,5
"[16, 5, 1.0]",-0.31629139396114003,1.1156342029571533,1169,L1,5
"[44, 68, 1.0]",-0.17630677679804618,1.115875005722046,8141,L1,5
"[69, 83, 0.0]",-0.44255881821921067,1.1545119285583496,19666,L1,5
